cve,descrip
"0","Ningún auto o camioneta con holograma doble cero"
"1","auto o camioneta con holograma doble cero"
"2","autos o camionetas con holograma doble cero"
"3","autos o camionetas con holograma doble cero"
"4","autos o camionetas con holograma doble cero"
"5","autos o camionetas con holograma doble cero"
"6","autos o camionetas con holograma doble cero"
"7","autos o camionetas con holograma doble cero"
"8","ocho o más autos o camionetas con holograma doble cero"
"9","No sabe"

